ID;ФИО;Дата рождения;Семейное положение;Дети;Отдел;Должность;Рабочий стаж (лет);Наличие правонарушений/ судимостей;Наличие выговоров по трудовой дисциплине;Трудовые заслуги;Образование;Дополнительная квалификация;Исполнительность/ дисциплинированность;Коммуникабельность;Стрессоустойчивость;Лидерство;Порядочность/ честность;Энергичность;Кандидат на увольнение
1;Иванов Иван Иванович;03.08.1969;холост;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Мастер участка службы подстанций;25;Нет;Да;Нет;высшее образование - бакалавриат;Нет;10;5;7;2;2;1;0
2;Петров Александр Федорович;04.05.1968;разведен;;Западный участок;Начальник района электрических сетей;11;Нет;Нет;Да;высшее образование - специалитет магистратура;Нет;0;5;4;0;10;1;0
3;Васильев Александр Николаевич;24.05.1968;холост;есть дети;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;5;Нет;Да;Нет;высшее образование - бакалавриат;Нет;5;0;10;9;4;6;1
4;Осипов Марк Михайлович;14.10.1988;разведен;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Инженер 1 категории управления технологического развития и цифровизации;10;Нет;Нет;Нет;высшее образование - бакалавриат;Да;7;8;4;2;8;1;0
5;Устинов Ипполит Антонинович;03.03.1970;холост;;Восточный участок;Специалист Центра обслуживания потребителей;5;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;1;1;1;10;3;0;0
6;Носков Моисей Наумович;08.01.1994;холост;есть дети;Западный участок;Техник отдела маркетинга и взаимодействия с клиентами;10;Нет;Нет;Нет;среднее профессиональное образование;Нет;3;3;6;3;6;2;0
7;Беспалов Алексей Улебович;21.10.1966;разведен;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по испытаниям и измерениям;4;Нет;Нет;Нет;среднее профессиональное образование;Да;0;10;3;7;1;2;0
8;Дмитриев Моисей Семенович;08.02.1959;разведен;есть дети;Западный участок;Начальник участка отдела метрологии и качества электроэнергии;13;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;7;7;10;8;5;7;0
9;Гришин Степан Лаврентьевич;27.04.1965;женат;;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по эксплуатации РС;4;Да;Да;Нет;среднее профессиональное образование;Нет;2;9;2;4;0;10;1
10;Романов Кондрат Улебович;13.09.1983;холост;есть дети;Отдел безопасности;Инженер управления производственной безопасности и производственного контроля;5;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;8;2;5;4;2;3;0
11;Назаров Борис Денисович;09.11.1989;женат;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по эксплуатации РС;10;Нет;Нет;Нет;среднее профессиональное образование;Да;7;7;5;2;3;4;0
12;Рыбаков Аввакуум Тихонович;10.09.1988;женат;;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Инженер 1 категории управления технологического развития и цифровизации;17;Нет;Нет;Нет;высшее образование - бакалавриат;Да;3;8;2;5;7;4;0
13;Медведев Пантелей Алексеевич;23.05.1965;разведен;;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;20;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;0;7;4;4;3;7;0
14;Яковлев Моисей Филиппович;17.05.1963;холост;есть дети;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;16;Нет;Нет;Да;высшее образование - бакалавриат;Нет;8;8;10;4;6;3;0
15;Вишняков Мирослав Фролович;12.06.1958;разведен;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по эксплуатации электросчетчиков;16;Нет;Нет;Нет;среднее профессиональное образование;Нет;8;3;5;9;8;7;0
16;Уваров Лаврентий Вадимович;28.08.1959;холост;;Восточный участок;Начальник района электрических сетей;9;Нет;Нет;Да;высшее образование - специалитет магистратура;Нет;1;6;8;4;0;9;0
17;Соболев Давид Олегович;19.09.1994;разведен;;Центральный участок;Начальник района электрических сетей;8;Нет;Нет;Да;высшее образование - специалитет магистратура;Да;9;4;4;8;4;8;0
18;Белов Адам Владимирович;17.09.1984;разведен;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;7;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;0;8;2;1;8;10;0
19;Фёдоров Трофим Демьянович;06.03.1990;холост;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Мастер участка службы подстанций;13;Да;Да;Нет;высшее образование - бакалавриат;Нет;7;6;1;9;7;1;1
